time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1259107200,0,0,0,0,0,0,direct,
1259193600,0,0,0,0,0,0,direct,
1259280000,0,0,0,0,0,0,direct,
1259366400,0,0,0,0,0,0,direct,
1259452800,0,0,0,0,0,0,direct,
1259539200,0,0,0,0,0,0,direct,
1259625600,0,0,0,0,0,0,direct,
1259712000,0,0,0,0,0,0,direct,
1259798400,0,0,0,0,0,0,direct,
1259884800,0,0,0,0,0,0,direct,
1259971200,0,0,0,0,0,0,direct,
1260057600,0,0,0,0,0,0,direct,
1260144000,0,0,0,0,0,0,direct,
1260230400,0,0,0,0,0,0,direct,
1260316800,0,0,0,0,0,0,direct,
1260403200,0,0,0,0,0,0,direct,
1260489600,0,0,0,0,0,0,direct,
1260576000,0,0,0,0,0,0,direct,
1260662400,0,0,0,0,0,0,direct,
1260748800,0,0,0,0,0,0,direct,
1260835200,0,0,0,0,0,0,direct,
1260921600,0,0,0,0,0,0,direct,
1261008000,0,0,0,0,0,0,direct,
1261094400,0,0,0,0,0,0,direct,
1261180800,0,0,0,0,0,0,direct,
1261267200,0,0,0,0,0,0,direct,
1261353600,0,0,0,0,0,0,direct,
1261440000,0,0,0,0,0,0,direct,
1261526400,0,0,0,0,0,0,direct,
1261612800,0,0,0,0,0,0,direct,
1261699200,0,0,0,0,0,0,direct,
1261785600,0,0,0,0,0,0,direct,
1261872000,0,0,0,0,0,0,direct,
1261958400,0,0,0,0,0,0,direct,
1262044800,0,0,0,0,0,0,direct,
1262131200,0,0,0,0,0,0,direct,
1262217600,0,0,0,0,0,0,direct,
1262304000,0,0,0,0,0,0,direct,
1262390400,0,0,0,0,0,0,direct,
1262476800,0,0,0,0,0,0,direct,
1262563200,0,0,0,0,0,0,direct,
1262649600,0,0,0,0,0,0,direct,
1262736000,0,0,0,0,0,0,direct,
1262822400,0,0,0,0,0,0,direct,
1262908800,0,0,0,0,0,0,direct,
1262995200,0,0,0,0,0,0,direct,
1263081600,0,0,0,0,0,0,direct,
1263168000,0,0,0,0,0,0,direct,
1263254400,0,0,0,0,0,0,direct,
1263340800,0,0,0,0,0,0,direct,
1263427200,0,0,0,0,0,0,direct,
1263513600,0,0,0,0,0,0,direct,
1263600000,0,0,0,0,0,0,direct,
1263686400,0,0,0,0,0,0,direct,
1263772800,0,0,0,0,0,0,direct,
1263859200,0,0,0,0,0,0,direct,
1263945600,0,0,0,0,0,0,direct,
1264032000,0,0,0,0,0,0,direct,
1264118400,0,0,0,0,0,0,direct,
1264204800,0,0,0,0,0,0,direct,
1264291200,0,0,0,0,0,0,direct,
1264377600,0,0,0,0,0,0,direct,
1264464000,0,0,0,0,0,0,direct,
1264550400,0,0,0,0,0,0,direct,
1264636800,0,0,0,0,0,0,direct,
1264723200,0,0,0,0,0,0,direct,
1264809600,0,0,0,0,0,0,direct,
1264896000,0,0,0,0,0,0,direct,
1264982400,0,0,0,0,0,0,direct,
1265068800,0,0,0,0,0,0,direct,
1265155200,0,0,0,0,0,0,direct,
1265241600,0,0,0,0,0,0,direct,
1265328000,0,0,0,0,0,0,direct,
1265414400,0,0,0,0,0,0,direct,
1265500800,0,0,0,0,0,0,direct,
1265587200,0,0,0,0,0,0,direct,
1265673600,0,0,0,0,0,0,direct,
1265760000,0,0,0,0,0,0,direct,
1265846400,0,0,0,0,0,0,direct,
1265932800,0,0,0,0,0,0,direct,
1266019200,0,0,0,0,0,0,direct,
1266105600,0,0,0,0,0,0,direct,
1266192000,0,0,0,0,0,0,direct,
1266278400,0,0,0,0,0,0,direct,
1266364800,0,0,0,0,0,0,direct,
1266451200,0,0,0,0,0,0,direct,
1266537600,0,0,0,0,0,0,direct,
1266624000,0,0,0,0,0,0,direct,
1266710400,0,0,0,0,0,0,direct,
1266796800,0,0,0,0,0,0,direct,
1266883200,0,0,0,0,0,0,direct,
1266969600,0,0,0,0,0,0,direct,
1267056000,0,0,0,0,0,0,direct,
1267142400,0,0,0,0,0,0,direct,
1267228800,0,0,0,0,0,0,direct,
1267315200,0,0,0,0,0,0,direct,
1267401600,0,0,0,0,0,0,direct,
1267488000,0,0,0,0,0,0,direct,
1267574400,0,0,0,0,0,0,direct,
1267660800,0,0,0,0,0,0,direct,
1267747200,0,0,0,0,0,0,direct,
1267833600,0,0,0,0,0,0,direct,
1267920000,0,0,0,0,0,0,direct,
