Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1514824740,1/1/2018 16:39,BTCUSD,12955.86,12989.12,12946.03,12982.03,23.82171844
1514824800,1/1/2018 16:40,BTCUSD,12982.03,13019.99,12978.36,13019.99,16.8571536
1514824860,1/1/2018 16:41,BTCUSD,13019.99,13068.2,13019.99,13068.2,2.7287624
1514824920,1/1/2018 16:42,BTCUSD,13068.2,13068.2,13049.63,13067.95,1.356361088
1514824980,1/1/2018 16:43,BTCUSD,13067.95,13075.55,13067.01,13067.01,2.44932723
1514825040,1/1/2018 16:44,BTCUSD,13067.01,13067.01,13067.01,13067.01,0.031359929
1514825100,1/1/2018 16:45,BTCUSD,13067.01,13081.9,13067.01,13081.45,0.229436234
1514825160,1/1/2018 16:46,BTCUSD,13081.45,13083.14,13079.87,13083.14,0.11987491
1514825220,1/1/2018 16:47,BTCUSD,13083.14,13083.14,13079.98,13083.13,2.05343991
1514825280,1/1/2018 16:48,BTCUSD,13083.13,13117.36,13083.13,13117.36,0.32694853
1514825340,1/1/2018 16:49,BTCUSD,13117.36,13124.29,13117.36,13124.24,0.22857154
1514825400,1/1/2018 16:50,BTCUSD,13124.24,13124.24,13094.8,13112.56,0.01671194
1514825460,1/1/2018 16:51,BTCUSD,13112.56,13112.56,13083.09,13112.46,0.49289537
1514825520,1/1/2018 16:52,BTCUSD,13112.46,13112.46,13110.86,13110.86,0.50007756
1514825580,1/1/2018 16:53,BTCUSD,13110.86,13126.85,13109.39,13126.8,20.00376324
1514825640,1/1/2018 16:54,BTCUSD,13126.8,13126.8,13084.1,13099.52,6.42864021
1514825700,1/1/2018 16:55,BTCUSD,13099.52,13099.52,13031.46,13031.46,2.96544709
1514825760,1/1/2018 16:56,BTCUSD,13031.46,13031.46,13012.79,13012.79,0.66274901
1514825820,1/1/2018 16:57,BTCUSD,13012.79,13012.79,12999.92,12999.95,0.980225559
1514825880,1/1/2018 16:58,BTCUSD,12999.95,12999.95,12990.09,12995,0.18577518
1514825940,1/1/2018 16:59,BTCUSD,12995,13000.01,12988.11,13000.01,0.856017831
1514826000,1/1/2018 17:00,BTCUSD,13000.01,13057.93,13000.01,13057.93,12.00408
1514826060,1/1/2018 17:01,BTCUSD,13057.93,13057.93,13032.71,13041.14,0.01399935
1514826120,1/1/2018 17:02,BTCUSD,13041.14,13041.19,13041.14,13041.19,0.00536679
