time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1601156100,10744.83,10743.05,10744.57,1.899,20401.68,10743.71,direct,
1601156160,10745.95,10743.47,10743.71,5.506,59129.74,10745.95,direct,
1601156220,10746.43,10743.87,10745.95,3.83,41164.68,10744.73,direct,
1601156280,10745.31,10744.13,10744.73,5.211,56004.81,10744.99,direct,
1601156340,10745.73,10744.37,10744.99,4.449,47774.64,10745.58,direct,
1601156400,10745.73,10744.67,10745.58,5.789,62177.16,10744.71,direct,
1601156460,10745.7,10744.71,10744.71,2.243,24098.32,10745.6,direct,
1601156520,10751.75,10743.98,10745.6,4.37,46955.94,10751.69,direct,
1601156580,10752.25,10750.96,10751.69,1.958,21034.32,10752.24,direct,
1601156640,10752.45,10751.45,10752.24,12.94,139911.08,10751.69,direct,
1601156700,10756.36,10751.69,10751.69,15.03,161653.04,10756.35,direct,
1601156760,10756.36,10755.76,10756.35,2.011,21610.31,10756.06,direct,
1601156820,10756.19,10754.11,10756.06,9.427,101359.01,10756.19,direct,
1601156880,10763.14,10756.19,10756.19,19.2,206572.94,10761.89,direct,
1601156940,10762.02,10758.89,10761.89,14.4,154886.99,10759.1,direct,
1601157000,10760.32,10759.1,10759.1,4.621,49692,10760.32,direct,
1601157060,10761.03,10759.65,10760.32,4.447,47839.5,10760.13,direct,
1601157120,10760.22,10757.45,10760.13,7.504,80711.94,10757.45,direct,
1601157180,10757.45,10741.32,10757.45,26.85,288421.11,10741.44,direct,
1601157240,10745.44,10741.12,10741.44,6.347,68141.27,10743.78,direct,
1601157300,10745.2,10742.89,10743.78,10.06,108537.31,10744.37,direct,
1601157360,10745.41,10744.1,10744.37,5.912,63475.87,10744.62,direct,
1601157420,10744.62,10740.8,10744.62,9.887,106149.94,10740.8,direct,
1601157480,10740.8,10735.4,10740.8,10.76,115487.02,10735.4,direct,
1601157540,10735.4,10727.76,10735.4,50.23,538743.83,10728.32,direct,
1601157600,10737.28,10728.1,10728.32,26.99,291266.11,10731.29,direct,
1601157660,10731.29,10729.39,10731.29,4.036,43259.54,10729.81,direct,
1601157720,10729.81,10724.24,10729.81,13.96,149507.6,10726.24,direct,
1601157780,10727.15,10725.71,10726.24,3.14,33631.58,10726.96,direct,
1601157840,10728.5,10725.16,10726.96,5.502,58990.45,10728.22,direct,
1601157900,10730.86,10728.16,10728.22,2.573,27578.42,10729.65,direct,
1601157960,10731.29,10729.62,10729.65,2.55,27339.34,10731.2,direct,
1601158020,10732.68,10731.19,10731.2,2.225,23861.64,10732.68,direct,
1601158080,10732.81,10732.5,10732.68,2.915,31262.71,10732.81,direct,
1601158140,10732.81,10727.25,10732.81,3.992,42800.55,10727.3,direct,
1601158200,10726.33,10714.46,10726.39,156.1,1674142.8,10724.81,invert_divide,ETH
1601158260,10732.11,10730.42,10730.9,16.04,173485.56,10731.87,direct,
1601158320,10732.06,10731.44,10731.87,1.991,21354.21,10731.87,direct,
1601158380,10732.34,10731.85,10731.87,4.095,43920.95,10732.13,direct,
1601158440,10732.67,10730.45,10732.13,3.55,38080.5,10730.79,direct,
1601158500,10730.79,10726.67,10730.79,4.481,48049.51,10726.72,direct,
1601158560,10725.03,10722.9,10722.9,108.52,1163880.3,10725.03,invert_divide,ETH
1601158620,10730.29,10721.46,10725.03,231.33,2482026.54,10729.38,invert_divide,ETH
1601158680,10743.63,10736.36,10736.6,15.14,162546.96,10743.62,direct,
1601158740,10743.62,10741.56,10743.62,4.103,44047.06,10742.3,direct,
1601158800,10750.19,10742.28,10742.3,157.04,1688061.43,10750.19,direct,
1601158860,10751.05,10748.76,10750.19,46.82,503254.99,10750.6,direct,
1601158920,10751.77,10747.94,10750.6,25.88,278441.16,10751.73,direct,
1601158980,10752.73,10750.57,10751.73,11,118278.24,10752.73,direct,
1601159040,10752.73,10751.75,10752.73,27.21,292492.02,10751.79,direct,
1601159100,10752.28,10743.55,10751.79,32.38,347700.13,10743.55,direct,
1601159160,10744.24,10740.86,10743.55,3.041,32633.95,10740.95,direct,
1601159220,10740.95,10737.71,10740.95,12.25,131429.23,10737.71,direct,
1601159280,10739.8,10736.64,10737.71,14.87,159576.53,10739.79,direct,
1601159340,10740.11,10735.46,10739.79,15.04,161424.21,10735.46,direct,
1601159400,10736.98,10734.35,10735.46,8.855,95006.78,10736.96,direct,
