Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1514764800,1/1/2018 0:00,BTCUSD,13820.26,13820.26,13775,13775,7.18E-05
1514764860,1/1/2018 0:01,BTCUSD,13775,13804.74,13775,13800,0.93385573
1514764920,1/1/2018 0:02,BTCUSD,13800,13800,13775,13775,1.747633541
1514764980,1/1/2018 0:03,BTCUSD,13775,13775,13772.85,13772.85,1.040767339
1514765040,1/1/2018 0:04,BTCUSD,13772.85,13772.85,13750,13750,6.17105288
1514765100,1/1/2018 0:05,BTCUSD,13750,13750,13700,13700,2.305962493
1514765160,1/1/2018 0:06,BTCUSD,13700,13700,13608.58,13608.58,2.98473213
1514765220,1/1/2018 0:07,BTCUSD,13608.58,13657.2,13601.07,13624.28,3.84460879
1514765280,1/1/2018 0:08,BTCUSD,13624.28,13706.05,13601.01,13706.05,2.74923681
1514765340,1/1/2018 0:09,BTCUSD,13706.05,13718.6,13663.96,13718.6,1.104052923
1514765400,1/1/2018 0:10,BTCUSD,13718.6,13718.6,13649.99,13670.39,0.02199275
1514765460,1/1/2018 0:11,BTCUSD,13670.39,13700,13649.99,13699.92,1.33367809
1514765520,1/1/2018 0:12,BTCUSD,13699.92,13699.92,13650.05,13650.05,0.4000515
1514765580,1/1/2018 0:13,BTCUSD,13650.05,13662.02,13650.05,13650.21,1.10216359
1514765640,1/1/2018 0:14,BTCUSD,13650.21,13662.04,13650,13650,12.04069572
1514765700,1/1/2018 0:15,BTCUSD,13650,13650,13555.52,13583.61,26.05660357
1514765760,1/1/2018 0:16,BTCUSD,13583.61,13583.61,13579.63,13579.63,0.83025188
1514765820,1/1/2018 0:17,BTCUSD,13579.63,13579.63,13538.12,13561.52,2.73316548
1514765880,1/1/2018 0:18,BTCUSD,13561.52,13561.52,13500,13551.63,12.09943773
1514765940,1/1/2018 0:19,BTCUSD,13551.63,13555.23,13551.63,13555.23,3.73019673
1514766000,1/1/2018 0:20,BTCUSD,13555.23,13555.23,13548.83,13552.62,3.71588236
1514766060,1/1/2018 0:21,BTCUSD,13552.62,13555.23,13547.32,13555.23,8.56457765
1514766120,1/1/2018 0:22,BTCUSD,13555.23,13579.6,13555,13579.46,0.54694015
1514766180,1/1/2018 0:23,BTCUSD,13579.46,13579.46,13560.32,13560.32,0.135672444
1514766240,1/1/2018 0:24,BTCUSD,13560.32,13579.6,13559.49,13579.34,10.24629817
1514766300,1/1/2018 0:25,BTCUSD,13579.34,13591.7,13578.7,13591.7,16.8677151
